   ,TOTAL CARTERA POR VENCER,CARTERA DE CRÉDITO PRODUCTIVO POR VENCER,a.DE 1 A 30 DÍAS,a.DE 31 A 90 DÍAS,a.DE 91 A 180 DÍAS,a.DE 181 A 360 DÍAS,a.MÁS DE 360 DÍAS,CARTERA DE CRÉDITO CONSUMO POR VENCER,b.DE 1 A 30 DÍAS,b.DE 31 A 90 DÍAS,b.DE 91 A 180 DÍAS,b.MÁS DE 180 DIAS,CARTERA DE CREDITO INMOBILIARIO POR VENCER,c.DE 1 A 30 DÍAS,c.DE 31 A 90 DÍAS,c.DE 91 A 360DÍAS,c.MÁS DE 360 DÍAS,CARTERA DE MICROCRÉDITO POR VENCER,d.DE 1 A 30 DÍAS,d.DE 31 A 90 DÍAS,d.DE 91 A 180 DÍAS,d.DE 181 A 360 DÍAS,d.MÁS DE 360 DÍAS,CARTERA DE VIVIENDA DE INTERÉS PUBLICO POR VENCER,h.DE 1 A 30 DÍAS,h.DE 31 A 90 DÍAS,h.DE 91 A  360 DÍAS,h.MÁS DE 360 DÍAS,CARTERA DE CRÉDITO EDUCATIVO POR VENCER,i.DE 1 A 30 DÍAS,i.DE 31 A 90 DÍAS,i.DE 91 A 180 DÍAS,i.DE 181 A 360 DÍAS,i.MÁS DE 360 DÍAS,TOTAL CARTERA QUE NO DEVENGA INTERES,CARTERA DE CRÉDITO PRODUCTIVO QUE NO DEVENGA INTERESES,j.DE 1 A 30 DÍAS,j.DE 31 A 90 DÍAS,j.DE 91 A 180 DÍAS,j.DE 181 A 360 DÍAS,j.MÁS DE 360 DÍAS,CARTERA DE CRÉDITO CONSUMO QUE NO DEVENGA INTERESES,k.DE 1 A 30 DÍAS,k.DE 31 A 90 DÍAS,k.DE 91 A 180 DÍAS,k.MÁS DE 180 DÍAS,CARTERA DE CREDITO INMOBILIARIO QUE NO DEVENGA INTERESES,l.DE 1 A 30 DÍAS,l.DE 31 A 90 DÍAS,l.DE 91 A 360 DÍAS,l.MÁS DE 360 DÍAS,CARTERA DE MICROCRÉDITO QUE NO DEVENGA INTERESES,m.DE 1 A 30 DÍAS,m.DE 31 A 90 DÍAS,m.DE 91 A 180 DÍAS,m.DE 181 A 360 DÍAS,m.MÁS DE 360 DÍAS,CARTERA DE VIVIENDA DE INTERÉS PUBLICO QUE NO DEVENGA INTERESES,p.DE 1 A 30 DÍAS,p.DE 31 A 90 DÍAS,p.DE 91 A 360 DÍAS,p.MÁS DE 360 DÍAS,CARTERA DE CRÉDITO EDUCATIVO QUE NO DEVENGA INTERESES,q.DE 1 A 30 DÍAS,q.DE 31 A 90 DÍAS,q.DE 91 A 180 DÍAS,q.DE 181 A 360 DÍAS,q.MÁS DE 360 DÍAS,TOTAL CARTERA VENCIDA,CARTERA DE CRÉDITO PRODUCTIVO VENCIDA,r.DE 1 A 30 DÍAS,r.DE 31 A 90 DÍAS,r.DE 91 A 180 DÍAS,r.DE 181 A 360 DÍAS,r.MÁS DE 360 DÍAS,CARTERA DE CRÉDITO CONSUMO VENCIDA,s.DE 1 A 30 DÍAS,s.DE 31 A 90 DÍAS,s.DE 91 A 180 DÍAS,s.MÁS DE 180 DÍAS,CARTERA DE CREDITO INMOBILIARIO VENCIDA,t.De 1 a 30 días,t.De 31 a 90 días,t.De 91 a 360 DÍAS,t.MAS DE 360 DÍAS,CARTERA DE MICROCRÉDITO VENCIDA,u.DE 1 A 30 DÍAS,u.DE 31 A 90 DÍAS,u.DE 91 A 180 DÍAS,u.DE 181 A 360 DÍAS,u.MÁS DE 360 DÍAS,CARTERA DE VIVIENDA DE INTERÉS PUBLICO VENCIDA,y.De 1 a 30 días,y.De 31 a 90 días,y.De 91 a  360 DÍAS,y.MÁS DE 360 DÍAS ,CARTERA DE CRÉDITO EDUCATIVO VENCIDA,z.DE 1 A 30 DÍAS,z.DE 31 A 90 DÍAS,z.DE 91 A 180 DÍAS,z.DE 181 A 360 DÍAS,z.MÁS DE 360 DÍAS,TOTAL CARTERA IMPRODUCTIVA,TOTAL CARTERA BRUTA,PROVISIONES,TOTAL CARTERA NETA
15 DE ABRIL LTDA,77941269.57999998,1473446.98,17553.26,33996.46,60306.36,128985.18999999999,1232605.71,37548857.64,520678.89,1240232.4,2287916.49,33500029.86,12284086.809999999,62701.48,272114.99,759007.83,11190262.51,26634878.15,576208.38,1234707.07,2095739.96,3982204.58,18746018.159999996,0,0,0,0,0,0,0,0,0,0,0,2723998.1100000003,11389.380000000001,1102.91,1130.31,1729.82,3609.39,3816.95,667584.54,111672.43,30345.77,46425.03,479141.31000000006,140582.7,4522.74,2910.18,13713.779999999999,119436,1904441.49,299408.86,105105.54000000001,155819.61,92172.45000000001,1251935.03,0,0,0,0,0,0,0,0,0,0,0,6641553.050000001,173115.06,0,1093.56,40354.85,2764.78,128901.87,2199875.95,0,463666.41,422401.36,1313808.1800000002,234308.87000000002,0,1837.6,221967.07,10504.2,4034253.17,69690.53,272436.64,440071.33,1341661.04,1910393.63,0,0,0,0,0,0,0,0,0,0,0,9365551.16,87306820.74000001,-9584931.2,77721889.54
23 DE JULIO LIMITADA,261344132.78000003,521715.39,17253.940000000002,31055.519999999997,49672.39,84454.29999999999,339279.24,150801107.70000002,3705092.8,7075302.12,10966658.660000002,129054054.12,3570597.6500000004,67133.47000000002,128945.72,585932.86,2788585.6,106450712.04,2621521.92,5064636.09,8088163.96,15689853.200000001,74986536.87,0,0,0,0,0,0,0,0,0,0,0,9651393.73,1287.01,1287.01,0,0,0,0,4425762.1,270254.36,263733.66000000003,387765.32,3504008.76,92860.39,4601.04,6923.14,21135.120000000003,60201.09,5131484.23,340522.27,327505.58,486605.89,859780.42,3117070.0700000003,0,0,0,0,0,0,0,0,0,0,0,17280787.82,9381.74,0,561.73,557.36,564.33,7698.32,7652995.17,665835.7999999999,2706978.38,2010543.3900000001,2269637.6,312283.46,5,21666.52,83836.07,206775.87,9306127.45,1034764.45,3342756.8599999994,2505270.52,1055794.72,1367540.9000000001,0,0,0,0,0,0,0,0,0,0,0,26932181.549999997,288276314.33,-29005463.54,259270850.79
29 DE OCTUBRE LTDA,782673838.17,725600,0,0,700000,0,25600,557302626.5,11637874.579999998,24541988.78,36165351.830000006,484957411.31,105794188.13,589247.3,1181195.99,5538494.680000001,98485250.16,118851423.53999999,2101124.14,4063988.69,6410467.99,12748387.25,93527455.47,0,0,0,0,0,0,0,0,0,0,0,65498805.92,0,0,0,0,0,0,41485929.96,1855725.05,1957173.4600000002,2923247.8400000003,34749783.61,2283122.4099999997,46124.28,32381.43,140895.11,2063721.5899999999,21729753.55,911568.7200000001,959310,1444217.3900000001,2755941.67,15658715.77,0,0,0,0,0,0,0,0,0,0,0,20499413.09,42551.54,0,0,0,15911.6,26639.94,12942996.780000001,77390.68,1799882.1800000002,2328596.71,8737127.21,198044.52000000002,0,16301.150000000001,95219.46,86523.91,7315820.25,16781.04,890064.8400000001,1167759.71,2007006.1400000001,3234208.52,0,0,0,0,0,0,0,0,0,0,0,85998219.00999999,868672057.18,-92952779.62,775719277.56
9 DE OCTUBRE LTDA,77737014.24,0,0,0,0,0,0,26514154.679999996,803919.79,1794805.55,2317297.86,21598131.479999997,402414.15,4890.530000000001,8642.2,37293.759999999995,351587.66000000003,50820445.410000004,1457296.1300000001,2553912.05,3954152.4299999997,7529395.85,35325688.95,0,0,0,0,0,0,0,0,0,0,0,6278040.85,0,0,0,0,0,0,503707.60000000003,42232.159999999996,36282.91,50309.07,374883.46,0,0,0,0,0,5774333.25,332245.28,319803.1,485314.80999999994,903755.46,3733214.5999999996,0,0,0,0,0,0,0,0,0,0,0,2007006.04,0,0,0,0,0,0,503601.26,4,55839.85,65763.09,381994.32,2,0,0,0,2,1503402.78,17,290846.44999999995,312707.4,445011.52,454820.41,0,0,0,0,0,0,0,0,0,0,0,8285046.89,86022061.13,-7986055.74,78036005.39
ALFONSO JARAMILLO LEON CAJA,118895427.43,2968823.34,149596.34,477837.54,311006.81,397209.42,1633173.23,104149874.78,2444915.99,4267910.319999999,6460711.63,90976336.84,0,0,0,0,0,11776729.31,426460.23,722438.7999999999,1020646.0399999999,1806201.9100000001,7800982.33,0,0,0,0,0,0,0,0,0,0,0,5584841.430000001,97727.98000000001,10621.34,3714.14,5740.97,11901.09,65750.44,4235578.62,240766.84,228898.23,321114.55,3444799.0000000005,0,0,0,0,0,1251534.83,114858.56999999999,105904.40000000001,134712.88,229125.06999999998,666933.91,0,0,0,0,0,0,0,0,0,0,0,2983619.08,163554.12,0,12809.86,14907.73,26017.98,109818.55,1700992.1999999997,0,242472.87,270476.52999999997,1188042.7999999998,0,0,0,0,0,1119072.76,0,111209.4,144674.30000000002,198338.85,664850.21,0,0,0,0,0,0,0,0,0,0,0,8568460.509999998,127463887.94,-8735621.52,118728266.42
ALIANZA DEL VALLE LIMITADA,951622977.49,0,0,0,0,0,0,215502633.71,5367675.890000001,10808038.31,16674227.58,182652691.93,298749.79,8046.73,17842,104054.36,168806.69999999998,735821593.99,13028623.33,26374709.459999997,44813400.34,90784920.11,560819940.75,0,0,0,0,0,0,0,0,0,0,0,43418680.419999994,0,0,0,0,0,0,5390554.260000001,216767.59000000003,244138.81,361294.98000000004,4568352.880000001,0,0,0,0,0,38028126.16,1154493.1,1426641.8900000001,2106566.53,3959905.8,29380518.84,0,0,0,0,0,0,0,0,0,0,0,34053069.44,0,0,0,0,0,0,3824442.39,49030.74,369960.43,1357421.2100000002,2048030.01,4,0,0,0,4,30228623.049999997,184167.49999999997,1676604.8,12377367.95,11803433.95,4187048.8499999996,0,0,0,0,0,0,0,0,0,0,0,77471749.86000001,1029094727.35,-85077468.01,944017259.34
AMBATO LTDA,239919945.46,223333.3,4431.27,5191.48,10479.95,21317.3,181913.3,95171020.71,2942494.8499999996,5358688.91,7961532.1,78908304.85,2671134.08,23511.55,39957.95,194849.74,2412814.84,141799304.33,4953989.34,7926622.430000001,12435101.040000001,23095633.32,93387958.2,0,0,0,0,0,55153.04,2452.95,5080.68,7386.43,13460.96,26772.02,14828478.220000003,0,0,0,0,0,0,2660290.9000000004,211144.24000000002,194434.19,287325.77,1967386.7000000002,125417.95,2916.16,2001.41,9131.73,111368.65,12042769.370000001,941827.6900000001,800314.9500000001,1227853.72,2171691.8800000004,6901081.130000001,0,0,0,0,0,0,0,0,0,0,0,7041810.91,0,0,0,0,0,0,1052008.48,18,174179.47,198997.8,678813.21,10538.23,0,942,5577.92,4018.31,5979264.2,155,760228.8899999999,977405.41,1619865.16,2621609.74,0,0,0,0,0,0,0,0,0,0,0,21870289.129999995,261790234.59,-27317356.34,234472878.25
ANDALUCIA LIMITADA,394659082.3,0,0,0,0,0,0,272630707.59,4924103.5600000005,7314894.66,11431935.11,248959774.26,40391206.910000004,271148.89,549981.68,2600992.46,36969083.88,81637167.8,1164252.12,2415139.64,4107993.19,8173178.74,65776604.11,0,0,0,0,0,0,0,0,0,0,0,8130321.59,0,0,0,0,0,0,5428940.64,272400.41000000003,221388.45,323168.75,4611983.029999999,530491.93,18769.309999999998,8886.48,31230.01,471606.13,2170889.02,112433.12000000001,109225.54000000001,163498.64,307938.88999999996,1477792.83,0,0,0,0,0,0,0,0,0,0,0,23099675.07,0,0,0,0,0,0,14010634.530000001,2749250.34,761921.64,1474086.07,9025376.48,2340037.34,417650.57,234020.75,1257014.68,431351.33999999997,6749003.2,1463273.8,284277.07,623036.9400000001,2347023.19,2031392.2,0,0,0,0,0,0,0,0,0,0,0,31229996.659999996,425889078.96000004,-34728622.28,391160456.68
ATUNTAQUI LIMITADA,340409529.06,1843355.4,34703.07,65807.95,91728.07,170749.06,1480367.25,162863750.04,3754115.41,7579809.74,11657287.290000001,139872537.6,70858060.74,603175.73,1152487.3900000001,5465723.87,63636673.74999999,104572230.63999999,2394367.2600000002,4595029.91,7164707.17,13797995.999999998,76620130.3,272132.24,439.61,896.07,4261.34,266535.22,0,0,0,0,0,0,9676328.49,0,0,0,0,0,0,4322855.91,518343.58999999997,281053.3,402085.9799999999,3121373.04,552520.94,130045.58,8074.09,35634.85,378766.42,4800951.640000001,492453.70999999996,273332.55999999994,405511.46,709249.4900000001,2920404.42,0,0,0,0,0,0,0,0,0,0,0,14539753.71,29820.48,0,0,0,29820.48,0,5761218.350000001,377,293125.26999999996,902788.57,4564927.510000001,1418431.02,1,5174.23,533642.4500000001,879613.34,7330283.86,379,288272.77999999997,1224104.31,2258251.57,3559276.2,0,0,0,0,0,0,0,0,0,0,0,24216082.200000003,364625611.26,-26553115.92,338072495.34
CALCETA LTDA,70770209.38,0,0,0,0,0,0,37041654.78,658091.73,1338541.97,2266711.2,32778309.88,3090962.94,19412.65,43301.1,217168.57,2811080.62,30637591.66,1521349.9100000001,1860207.85,2507432.02,6860938.29,17887663.59,0,0,0,0,0,0,0,0,0,0,0,8064889.65,0,0,0,0,0,0,1907517.2,82075.59999999999,81284.40000000001,119709.98000000001,1624447.22,221086.56,4206.85,2875.27,13350.880000000001,200653.56,5936285.890000001,415363.38999999996,451244.75,611494.33,1120757.02,3337426.4000000004,0,0,0,0,0,0,0,0,0,0,0,4522710.130000001,0,0,0,0,0,0,396548.67000000004,40430.01,69625.65,83973.97,202519.04,7477.640000000001,1371.41,1726.19,4019.28,360.76,4118683.8200000003,375634.37999999995,507124.62000000005,635259.9600000001,1452835.35,1147829.51,0,0,0,0,0,0,0,0,0,0,0,12587599.78,83357809.16,-6512919.6,76844889.56
CHIBULEO LIMITADA,310023198.13,0,0,0,0,0,0,107761796.66,5940602.569999999,7037511.42,9960857.819999998,84822824.85,3709687.88,51727.99,77180.94,399496.65,3181282.3,198551713.59,7238074.15,13123587.25,19787952.439999998,35153085,123249014.75,0,0,0,0,0,0,0,0,0,0,0,24323260.59,0,0,0,0,0,0,3405478.2700000005,498198.41,248860.00999999998,357702.55,2300717.3000000003,563604.74,12017,7529.82,39489.63,504568.29,20354177.58,1517497.26,1440406.89,2124242.14,3543265.91,11728765.38,0,0,0,0,0,0,0,0,0,0,0,13493445.97,0,0,0,0,0,0,1924670.3299999998,5069.41,284310,312250.48,1323040.44,19003.29,0,3947.69,15055.6,0,11549772.350000001,32626.17,1546146.18,1781331.36,3148773.24,5040895.4,0,0,0,0,0,0,0,0,0,0,0,37816706.56,347839904.69,-36529722.23,311310182.46
CHONE LTDA,110570150.3,760211.36,9568.42,20603.16,38767.03,80284.3,610988.45,65193584.59,1354473.59,2444780.88,4006663.6,57387666.52,2007300.13,24371.2,41281.95,206994.34,1734652.64,42609054.22,1585132.97,2518014.56,4315258,8119295.3,26071353.39,0,0,0,0,0,0,0,0,0,0,0,6361047.360000001,19391.239999999998,679.66,692.76,1072.58,2222.65,14723.59,2751615.7200000007,158472.56,141632.37,230016.84999999998,2221493.9400000004,72476.76999999999,459.7,685.28,2206.5299999999997,69125.26,3517563.63,296792.15,288724.92,458557.33,735415.25,1738073.98,0,0,0,0,0,0,0,0,0,0,0,3000060.2399999998,8012.24,0,660.53,979.84,1877.36,4494.51,557529.1799999999,0,135175.56999999998,131022.12,291331.49,375.59000000000003,0,217.52,158.07,0,2434143.23,4,364938.36,377762.21,787328.14,904110.52,0,0,0,0,0,0,0,0,0,0,0,9361107.6,119931257.89999999,-10381059.33,109550198.57
COMERCIO LTDA,112867160.99000001,413231.23,6004.74,13999.6,22111.63,45696.13,325419.13,89696420.44000001,577636.72,3013762.76,4727164.47,81377856.49000001,6340406.2,23501.1,66656,357362.68,5892886.42,16402178.77,550937.47,1035608.67,1436562.38,2726026.27,10653043.979999999,0,0,0,0,0,14924.349999999999,406.25,1341.54,1875.02,2592.73,8708.81,5289101.17,0,0,0,0,0,0,3483183.2800000003,194394.71,187505.44,261857.6,2839425.5300000003,157048.5,2463.17,3356.73,10683.32,140545.28,1648869.3900000001,133776.26,133848.28,192719.09,324869.85,863655.91,0,0,0,0,0,0,0,0,0,0,0,2625265.79,3,0,0,0,0,3,1237011.3399999999,0,182310.13,222282.28,832418.9299999999,16753.519999999997,0,947.54,8071.01,7734.969999999999,1371497.9300000002,6,221944.67,199429.31,319020.56,631097.39,0,0,0,0,0,0,0,0,0,0,0,7914366.959999999,120781527.95,-8323925.58,112457602.37
COOPROGRESO LIMITADA,423023052.13,391430.57,7757.18,18254.37,31618.37,42830.75,290969.9,176444352.38,6079702.38,11535150.76,16290095.86,142539403.38,25431120.92,373465.83,682383.43,3093951.39,21281320.27,220756148.26,4880062.49,9466380.06,15011430.969999999,28906771.15,162491503.59,0,0,0,0,0,0,0,0,0,0,0,62407181.230000004,0,0,0,0,0,0,19309602.17,1456949.5899999999,1252666.94,1858630.7600000002,14741354.88,2855488.7800000003,88984.70999999999,61054.95,287561.29,2417887.83,40242090.28,2500787.31,2480384.77,3695067.2,6435868.029999999,25129982.970000003,0,0,0,0,0,0,0,0,0,0,0,22067440.379999995,334.75,0,0,0,0,334.75,6834490.449999999,16181.890000000001,1205409.98,1456982.6,4155915.98,469607.01,0,28791.39,210474.21,230341.41,14763008.169999998,37560.83,2302947.32,2829411.46,4417419.4399999995,5175669.12,0,0,0,0,0,0,0,0,0,0,0,84474621.61,507497673.73999995,-24529175.65,482968498.09
DE LA PEQUEÑA EMPRESA BIBLIAN LIMITADA,365963495.11,8974383.49,364167.27,708346.07,775657.43,1410184.86,5716027.86,267906326.51,7324177.75,12168096.87,18456216.95,229957834.94,35983689.82,191203.91,331633.15,1517909.77,33942942.99,53099095.29,1698175.49,2578266.9,3829409.85,7142244.73,37850998.32,0,0,0,0,0,0,0,0,0,0,0,23440443.07,528207.48,25224.26,23583.38,39513.54,81868.42,358017.88,16458174.68,929402.37,856470.08,1283412.96,13388889.27,1290571.4100000001,12785.13,19147.25,61807.68,1196831.35,5163489.5,334379.91,305658.82,456852.96,774971.29,3291626.52,0,0,0,0,0,0,0,0,0,0,0,14692414.990000002,1042398.96,5377.65,101465.55,145265.68,256837.58,533452.5,8984166.09,161332.03,1124510.1,1255315.45,6443008.51,851045.31,6241.71,17620.44,62686.4,764496.76,3814804.63,74568.11,440101.09,475727.82,795423.6,2028984.01,0,0,0,0,0,0,0,0,0,0,0,38132858.06,404096353.17,-43521042.48,360575310.69
DE LA PEQUEÑA EMPRESA CACPE LOJA LTDA,86983516.61000001,0,0,0,0,0,0,61881518.980000004,1378677.6199999999,2695224.96,4066802.41,53740813.99,2256769.9699999997,18254.26,39432.35,180971.88,2018111.48,22845227.660000004,473498.66000000003,1090702.0399999998,1514456.48,2830843.22,16935727.26,0,0,0,0,0,0,0,0,0,0,0,2619675.38,0,0,0,0,0,0,1680794.6,91952.29,99026.69,153329.73,1336485.8900000001,0,0,0,0,0,938880.78,42044.78,50560.09,68618.5,136670.93,640986.48,0,0,0,0,0,0,0,0,0,0,0,1981600.5699999998,0,0,0,0,0,0,1500636.96,7704.17,106970.83,112500.58,1273461.38,9,0,0,4,5,480954.61,11684.23,61955.11,78019.93,89774.39,239520.95,0,0,0,0,0,0,0,0,0,0,0,4601275.95,91584792.56,-6263228.76,85321563.8
DE LA PEQUEÑA EMPRESA DE COTOPAXI LIMITADA,305460681.4,7610877.28,207208.74,298076.89,459743.28,966775.46,5679072.91,155785444.01999998,3609471.7600000002,6877450.75,10378371.96,134920149.54999998,6779449.54,79537.56,141462.41,653098.28,5905351.29,135284910.56,3800809.4099999997,6415817.779999999,10199526.2,18718408.72,96150348.45,0,0,0,0,0,0,0,0,0,0,0,27727230.000000004,128121.59,4296.54,35139.95,6750.28,13982.97,67951.85,9337276.55,444507.61,418600.41,645209.49,7828959.04,375358.55,7652.25,11183.54,36436.22,320086.54,17886473.310000002,987641.26,945949.91,1443632.04,2635866.28,11873383.82,0,0,0,0,0,0,0,0,0,0,0,10360288,105973.15,0,25350.07,11672.85,21684.29,47265.94,2839762.0200000005,7,427920.3,508710.25,1903124.4700000002,29949.25,0,3715.12,20256.73,5977.4,7384603.58,14,976062.85,1180625.39,1947006.3399999999,3280895,0,0,0,0,0,0,0,0,0,0,0,38087518,343548199.4,-56004164.89,287544034.51
DE LA PEQUEÑA EMPRESA DE PASTAZA LIMITADA,227926306.11999997,0,0,0,0,0,0,81414178.67,2167580.8600000003,4239666.81,5977152.44,69029778.56,12002976.549999999,92388.25,175568.51,826409.25,10908610.54,134509150.89999998,3734751.3899999997,6966096.329999999,10782504.87,18639296.380000003,94386501.92999999,0,0,0,0,0,0,0,0,0,0,0,8025271.5600000005,0,0,0,0,0,0,2019179.7800000003,133055.76,120525.18,171724.7,1593874.1400000001,114789.86,674.58,1057.78,3430.55,109626.95,5891301.92,366281.27,316438.66,506124.62,905305.41,3797151.96,0,0,0,0,0,0,0,0,0,0,0,3463784.04,0,0,0,0,0,0,881440.2999999999,2,123789.46,141465.17,616183.6699999999,16104.369999999999,0,373.07,4503.389999999999,11227.91,2566239.37,6,384174.62,398199.52999999997,679697.76,1104161.46,0,0,0,0,0,0,0,0,0,0,0,11489055.600000001,239415361.72000003,-14786438.89,224628922.83
DE LA PEQUEÑA EMPRESA GUALAQUIZA,98245212.94,0,0,0,0,0,0,46880938.78,1076331.55,1944931.14,3099462.5300000003,40760213.56,1906214.78,15522.179999999998,23038.539999999997,116002.98999999999,1751651.07,49458059.379999995,1020110.02,1663636.89,2598769.2,5155418.24,39020125.029999994,0,0,0,0,0,0,0,0,0,0,0,2657775.51,0,0,0,0,0,0,1268862.97,78980.43000000001,70928.06,111201.3,1007753.1799999999,0,0,0,0,0,1388912.54,68406.65,68946.61,110831.98,199871.28000000003,940856.02,0,0,0,0,0,0,0,0,0,0,0,1091354.44,0,0,0,0,0,0,607594.28,0,71627.18999999999,83490.96,452476.13,8,0,0,0,8,483752.16,0,64053.95,69187.62,132549.27,217961.32,0,0,0,0,0,0,0,0,0,0,0,3749129.95,101994342.89,-5832589.56,96161753.33
DE LOS SERVIDORES PUBLICOS DEL MINISTERIO DE EDUCACION Y CULTURA,238106374.88,0,0,0,0,0,0,238106374.88,6015383.970000001,4947656.74,14578978.88,212564355.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1812585.5999999999,0,0,0,0,0,0,1812585.5999999999,140397.84,55527.39,155880.51,1460779.8599999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212454.46,0,0,0,0,0,0,1212454.46,15793.95,155334.93,210233.23,831092.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3025040.06,241131414.94,-9360965.77,231770449.17
