    ,SUFICIENCIA PATRIMONIAL,( PATRIMONIO + RESULTADOS ) / ACTIVOS INMOVILIZADOS,ESTRUCTURA Y CALIDAD DE ACTIVOS,ACTIVOS IMPRODUCTIVOS NETOS / TOTAL ACTIVOS,ACTIVOS PRODUCTIVOS / TOTAL ACTIVOS,ACTIVOS PRODUCTIVOS / PASIVOS CON COSTO,INDICES DE MOROSIDAD,MOROSIDAD DE LA CARTERA DE CREDITO PRODUCTIVO,MOROSIDAD DE LA CARTERA DE CONSUMO,MOROSIDAD DE LA CARTERA DE CREDITO INMOBILIARIO,MOROSIDAD DE LA CARTERA DE MICROCREDITO,MOROSIDAD DE LA CARTERA DE VIVIENDA DE INTERES SOCIAL Y PUBLICO,MOROSIDAD DE LA CARTERA DE CREDITO EDUCATIVO,MOROSIDAD DE LA CARTERA TOTAL,COBERTURA DE PROVISIONES PARA CARTERA IMPRODUCTIVA,COBERTURA DE LA CARTERA DE CREDITO PRODUCTIVO,COBERTURA DE LA CARTERA DE CREDITO CONSUMO,COBERTURA DE LA CARTERA DE CREDITO INMOBILIARIO,COBERTURA DE LA CARTERA DE MICROCREDITO,COBERTURA DE LA CARTERA DE VIVIENDA DE IINTERES PUBLICO,COBERTURA DE LA CARTERA DE CREDITO EDUCATIVO,COBERTURA DE LA CARTERA PROBLEMÁTICA,EFICIENCIA MICROECONOMICA,GASTOS DE OPERACION ESTIMADOS / TOTAL ACTIVO PROMEDIO ,GASTOS DE OPERACION  / MARGEN FINANCIERO,GASTOS DE PERSONAL ESTIMADOS / ACTIVO PROMEDIO ,RENTABILIDAD,RESULTADOS DEL EJERCICIO / PATRIMONIO PROMEDIO,RESULTADOS DEL EJERCICIO / ACTIVO PROMEDIO,INTERMEDIACION FINANCIERA,CARTERA BRUTA / (DEPOSITOS A LA VISTA + DEPOSITOS A PLAZO),EFICIENCIA FINANCIERA,MARGEN DE INTERMEDIACIÓN ESTIMADO / PATRIMONIO PROMEDIO,MARGEN DE INTERMEDIACIÓN ESTIMADO / ACTIVO PROMEDIO,RENDIMIENTO DE LA CARTERA,RENDIMIENTO DE LA CARTERA DE CREDITO PRODUCTIVO POR VENCER,RENDIMIENTO DE LA CARTERA DE CREDITO CONSUMO,RENDIMIENTO DE LA CARTERA DE CREDITO INMOBILIARIO POR VENCER,RENDIMIENTO DE LA CARTERA DE MICROCREDITO POR VENCER,RENDIMIENTO DE LA CARTERA DE VIVIENDA DE IINTERES PUBLICO POR VENCER,RENDIMIENTO DE LA CARTERA DE CREDITO EDUCATIVO POR VENCER,CARTERAS DE CRÉDITOS  REFINANCIADAS,CARTERAS DE CRÉDITOS  REESTRUCTURADAS,CARTERA POR VENCER TOTAL,LIQUIDEZ,FONDOS DISPONIBLES / TOTAL DEPOSITOS A CORTO PLAZO ,VULNERABILIDAD DEL PATRIMONIO,CARTERA IMPRODUCTIVA DESCUBIERTA / (PATRIMONIO + RESULTADOS),CARTERA IMPRODUCTIVA / PATRIMONIO (DIC),FK = (PATRIMONIO + RESULTADOS - INGRESOS EXTRAORDINARIOS) / ACTIVOS TOTALES,FI = 1 + (ACTIVOS IMPRODUCTIVOS / ACTIVOS TOTALES),INDICE DE CAPITALIZACION NETO: FK / FI
15 DE ABRIL LTDA,,1.3205419032612622,,0.1231019620629989,0.8768980379370008,1.0278444062578782,,0.1112845875785673,0.07094808786828996,0.02961467811591286,0.1823163425958861,0,0,0.10727170088910512,,1.1114561795911255,1.1010377129904239,0.6318108193257053,1.007935287583888,0,0,1.0234241462410631,,0.05594490463171611,1.3487490348895026,0.02310846481609408,,0.00522698493311127,0.00058520346992956,,0.7924855886741702,,-0.12920721364405174,-0.01446579830093795,,0.08051303729145565,0.1482276964242567,0.0988665665515874,0.16479422471889243,0,0,0.14491132428054898,0.15773580219613625,0.15453997165836697,,0.2442141941345745,,0,0.6541329937998288,0.09271406958345639,1.123101962062999,0.08255178311072678
23 DE JULIO LIMITADA,,2.07645668431951,,0.0917480079425534,0.9082519920574467,1.0442889960686434,,0.02003957142675212,0.0741574612198059,0.10190397187543507,0.11942933143353213,0,0,0.0934248851231315,,1.3775521968365552,1.1330633014699203,0.8993093193935932,1.0338805337642936,0,0,1.0769815837662806,,0.04313707063972855,1.306153388823651,0.01840086639553274,,0.01379548622678987,0.00148439292906468,,0.7966888420829756,,-0.09396879854369096,-0.01011103326246561,,0.1241390963762364,0.13995648577836034,0.09485920976814496,0.16911101096220144,0,0,0.16265469894915802,0.17998983839558147,0.16192475463522593,,0.33881908650654113,,0.3072518744616331,0.5621934446265644,0.09701353060190013,1.0917480079425534,0.08886073516609967
29 DE OCTUBRE LTDA,,2.1835470705009654,,0.07341648004327188,0.9265835199567282,1.0397651610918375,,0.05539472068232786,0.088975182744327,0.02291534328033448,0.19639055776925074,0,0,0.09899963777950792,,1,1.1080684101690597,1.0512566560767436,1.032546670157365,0,0,1.080868658561305,,0.02998049351154321,1.0519719194558828,0.0127434038318664,,0.00581955032503275,0.00052027141581583,,0.8561530403228339,,-0.01656772392571487,-0.00148116481553564,,0.08396140430295629,0.13772067084723733,0.09393161782343018,0.16381137026543768,0,0,0.14620244345613764,0.1372743652720244,0.15060127512605942,,0.2784462084221457,,0.157196380296389,0.8566327680554252,0.08434638169324139,1.073416480043272,0.07857749835351996
9 DE OCTUBRE LTDA,,2.7883896620405295,,0.07890132214356334,0.9210986778564365,1.0806460664189899,,0,0.03660084640978362,4.96997946032e-06,0.12526615893332163,0,0,0.0963130478526817,,0,1.1723747967430764,1276.49,0.9347081581358209,0,0,0.9639119543957102,,0.03826366809245624,1.1197218346159807,0.01733635646209602,,0.00625614164108196,0.00073823714302992,,0.8224137110331695,,-0.03467053135296536,-0.00409119158128851,,0,0.13173789929429972,0.09067947852294764,0.16858094316940764,0,0,0.21239121699348293,0.2494260202530025,0.16251718445272856,,0.20358403723754193,,0.01860724802186039,0.5187728720013709,0.1179240281041755,1.0789013221435633,0.10930010528662974
ALFONSO JARAMILLO LEON CAJA,,1.4608075405108962,,0.09426521309289584,0.9057347869071042,1.0141253237159904,,0.0808896504629273,0.05392644650886976,0,0.1675656419831212,0,0,0.06722265143860477,,1.1100839284436248,1.0224476223800865,0,1.002166596454709,0,0,1.0195088732456563,,0.0431488612524989,0.9957796712108871,0.02217712655397915,,0.012872405911195,0.00118543847639848,,0.8712905321111746,,0.00198578888745422,0.00018287417048786,,0.1102312202161127,0.14949994217600554,0,0.15732741298249003,0,0,0.19721400840109246,0.1641797144821246,0.15149908955353958,,0.2577477818138099,,0,0.5928152366177416,0.08604605023600714,1.0942652130928958,0.07863363397324996
ALIANZA DEL VALLE LIMITADA,,1.6483692634152622,,0.09450121956508638,0.9054987804349136,1.0461120896412333,,0,0.04100700347915506,1.33889514841e-05,0.08488818258474395,0,0,0.0752814564112051,,0,1.3649721695775114,563.8075,1.0621220560468587,0,0,1.098174084924432,,0.02725115783870848,1.057301465445418,0.01336012421582012,,0.02609108237348801,0.00307017484364941,,0.836775952749754,,-0.01255107257939779,-0.00147690259616215,,0,0.12178245801778698,0.08244354452690522,0.15003767819062985,0,0,0.1304128914004556,0.1332150723226625,0.1554119799984236,,0.3488246924252703,,0,0.48150383855404005,0.10112770232381975,1.0945012195650863,0.09239615316646618
AMBATO LTDA,,5.120890137643336,,0.06620599700870401,0.933794002991296,1.061352032846897,,0,0.03754222023108853,0.0484331344585977,0.11276362597637846,0,0,0.08354127175237043,,0,1.2868502943854705,0.717814078036026,1.2445969730817676,0,0,1.2490624233462069,,0.03217997860569791,0.9923714589466649,0.01454300173639646,,0.01894738299444174,0.00199473622144971,,0.6583203696302726,,0.00234972335451584,0.000247373385919,,0.10862014840085056,0.14704501100779616,0.10504993399982157,0.17087344994678955,0,0.07104972139230323,0.15504722421245415,0.15322149886595332,0.16443782026292258,,0.6867483749928394,,0,0.4742927476645028,0.09657142595396583,1.066205997008704,0.09057482909015888
ANDALUCIA LIMITADA,,0.600114028432803,,0.1933493605336888,0.8066506394663111,0.913403352932571,,0,0.0665578674636128,0.06635261372905908,0.09850024082087025,0,0,0.07332894456054637,,0,1.1502387616220733,1.0136732659061165,1.0604041390535992,0,0,1.1120277295604426,,0.03058096665427083,0.959907255064896,0.01016091230512006,,0.00682565515929599,0.00067506561406516,,0.7241375842672804,,0.0129147523518099,0.00127728474753085,,0,0.14309305023783092,0.10504011249131454,0.1652840824443904,0,0,0.15379482973402692,0.17038324748646944,0.14716121994315418,,0.35862226730307795,,0,0.45011593942181066,0.09425001446809879,1.193349360533689,0.07897939830960178
ATUNTAQUI LIMITADA,,2.39982063039585,,0.06099662931476733,0.9390033706852325,1.0374323924332611,,0.0159197437455793,0.05830703161959351,0.02706273072956267,0.10394923048341262,0,0,0.06641355256510624,,1.4082389015870973,1.1649452083666028,1.1350917249144927,1.0324491277083856,0,0,1.0965075068996917,,0.02815392240530612,1.1885551002149655,0.01263884231618769,,0.02482451137621393,0.00225815896772966,,0.8692489387643094,,-0.0491002915278749,-0.00446640265951216,,0.10289445192562724,0.13626354878948485,0.09584709696556747,0.1600699972651533,0.04930643956301432,0,0.15195621887359562,0.14972198111302837,0.13649883960675427,,0.36490837997316367,,0,0.6253156970439541,0.06885974549679805,1.0609966293147672,0.0649010030703588
CALCETA LTDA,,1.103160322121932,,0.18352417024183929,0.8164758297581606,0.9975570375287062,,0,0.05855950359877319,0.06885444533524736,0.24709601390225783,0,0,0.15100684515159107,,0,0.5825807922757001,0.37102512116945696,0.5058008295084164,0,0,0.5174075847524284,,0.06089042766180894,1.3682767533559903,0.02128944642776363,,0.00219037642296775,0.00030436471656967,,0.9278792575979633,,-0.11794345135506139,-0.01638888401395978,,0,0.15200549361600751,0.08857627705696189,0.18461685954989776,0,0,0,0.00212434234366703,0.16957894808151447,,0.5891557763543672,,0.3452225966769115,0.716684959348935,0.13296140573082832,1.1835241702418393,0.11234363359360816
CHIBULEO LIMITADA,,1.740726341923391,,0.07585669759489379,0.9241433024051064,1.0283897115063627,,0,0.0471311072397412,0.13573342617005174,0.13843855882166778,0,0,0.1087187124021978,,0,0.863490832131772,0.5532067932534331,0.990626086404468,0,0,0.9659678367824529,,0.03938622911733861,1.1215225932861448,0.01586191728454335,,0.00062954259314401,5.632858716403e-05,,0.7727956333993686,,-0.04769684634815946,-0.00426769530168535,,0,0.15034413173000943,0.08312840995615581,0.17786653901184518,0,0,0.01629064930273613,0.17171263260583597,0.1723123918190098,,0.3334617670604423,,0.03427994516515353,1.0080292446061652,0.06755281705413252,1.0758566975948938,0.06278979087563301
CHONE LTDA,,5.49584766026316,,0.0767399285460079,0.9232600714539921,1.2059636380367003,,0.03479299602836331,0.04830675981287824,0.03502260548215867,0.12256205890585271,0,0,0.07805394326644514,,1.3973509933774833,1.2213867485826926,0.4878776747932394,0.9926261741325076,0,0,1.1089563087598737,,0.04984447387970488,0.7957491128085281,0.0228046646434786,,0.06560106076807333,0.01282071705057878,,1.0027722169505433,,0.06546412255898151,0.01279395458650239,,0.10503858397497451,0.15259967683155823,0.08899934677221863,0.19013476112345173,0,0,0,0.10243767243600105,0.16861375399577933,,0.5425159189706482,,0,0.31955711172849666,0.18557480901805823,1.076739928546008,0.1723487762440945
COMERCIO LTDA,,2.061538306096057,,0.0989437979472541,0.9010562020527457,1.0870772417802594,,7.25980517151e-06,0.04999326248881517,0.02668045204118452,0.15550831008479793,0,0,0.06552630269155325,,1348.99,1.1654475319070634,0.9813564307250285,0.8767038242222804,0,0,1.0517487528781457,,0.05152677035761666,1.1389924230332813,0.02126038775565186,,0.01276134528280247,0.00172189184966597,,0.8566978981536059,,-0.04660084613793999,-0.00628786506236075,,0.10577554482260558,0.15716934747676048,0.09854769412003087,0.1830754868741331,0,0.08875078880023254,0,0.3434208316603701,0.15994960903971728,,0.5408695841260616,,0,0.34639488638480403,0.12390507032649602,1.098943797947254,0.11274923299803097
COOPROGRESO LIMITADA,,0.5521087306393387,,0.2552215468625124,0.7447784531374876,0.8738156735945392,,0.00085446562753436,0.12905026552723675,0.11563050256342289,0.19946638298979427,0,0,0.1664532193565834,,142.40235997012698,0.2623793646122724,0.15171787577283605,0.31084807812029286,0,0,0.2903733119189997,,0.02910232756700434,1.1832425487130236,0.01103902258923832,,1.0418299e-10,1.36304e-11,,0.7128200879225461,,-0.03444828635092169,-0.00450692436868457,,0.06398461900637023,0.11968048570263241,0.08517353004424907,0.13218963892954774,0,0,0.16677754946740014,0.1434252811397845,0.16835185274993947,,0.4566690740851825,,1.4683662301873348,0.7735754651508313,0.11492256225355875,1.2552215468625123,0.09155560031678338
DE LA PEQUEÑA EMPRESA BIBLIAN LIMITADA,,3.3737222816984294,,0.08857309304131107,0.9114269069586889,1.0856256146697614,,0.14894337978756136,0.08673071879244436,0.05617310165763718,0.14463066526936433,0,0,0.09436575648570088,,1.0480342930467037,1.135429883639594,1.071440145461696,1.1909149739561942,0,0,1.1413003035734164,,0.03351199733365871,1.1028904093934733,0.01338684293706211,,0.00945229170677602,0.00133325535728673,,0.8726756385309812,,-0.02216494338606661,-0.00312638780416031,,0.10202167111914301,0.15147140388621189,0.10098530174732767,0.1717215309521583,0,0,0,0,0.14887341691009115,,0.16299623241991126,,0,0.49016525717014037,0.13639284714364558,1.0885730930413111,0.12529507482367055
DE LA PEQUEÑA EMPRESA CACPE LOJA LTDA,,4.558391997622822,,0.0446208318117508,0.9553791681882493,1.171698050573233,,0,0.04889774493156578,3.98798469839e-06,0.05851356689551236,0,0,0.05024061114715703,,0,1.4389717281864143,2869.0488888888885,1.168652966172367,0,0,1.3611939010091318,,0.04458457264680787,0.8908392508739492,0.01755903762471878,,0.0650152267481741,0.01044758892191779,,0.8791067757785131,,0.03399779703627547,0.00546325876954318,,0,0.15078680539107986,0.07782958165444676,0.16324693914122812,0,0,0,0.14635892209114837,0.15416095304957034,,0.30883788683383623,,0,0.23297543278309027,0.15110542130153062,1.0446208318117507,0.14465097449709013
DE LA PEQUEÑA EMPRESA DE COTOPAXI LIMITADA,,-233.71533025284137,,0.02528387885124495,0.9747161211487549,1.2823238007248734,,0.02984009877960023,0.07249856266845263,0.05641217661500033,0.1573972873348611,0,0,0.11086513643942562,,3.3227324971077947,1.649998006863503,1.6223388496347713,1.364274853820842,0,0,1.470407310079906,,0.02571838594881068,0.5997100575294301,0.0109452828734175,,0.08576856733697194,0.01729680624527552,,0.7714737323969422,,0.08512150440599053,0.0171663141256892,,0.10814845909382095,0.14925773247241092,0.10130765163266461,0.1723933796446363,0,0,0.1663025456724454,0.18983927028473974,0.1605162940386911,,0.3741241405041293,,0,0.31101849881163146,0.20206422275710403,1.025283878851245,0.1970812444486127
DE LA PEQUEÑA EMPRESA DE PASTAZA LIMITADA,,7.345110098232992,,0.06931767287142836,0.9306823271285717,1.1648903820667704,,0,0.03440226535558208,0.01078750815574451,0.05915742443533694,0,0,0.04798796333476976,,0,1.3592941030732986,1.5818393981155625,1.2112126821198173,0,0,1.2870021179112405,,0.03656153371437577,0.7340983937373634,0.01927912981523172,,0.05977265258443448,0.00957435564338077,,0.8509499197128053,,0.08267687758152961,0.01324314373252286,,0,0.15401133413619594,0.09956396560049353,0.16561130974346827,0,0,0.1886471568033889,0.23799810860984272,0.15999690457640225,,0.34401130958895715,,0,0.206442563883716,0.1625758372491161,1.0693176728714284,0.15203698711212055
DE LA PEQUEÑA EMPRESA GUALAQUIZA,,6.2572236741796505,,0.05926441067142042,0.9407355893285796,1.0928166144598666,,0,0.03848559198783775,4.19678123876e-06,0.03648233555173338,0,0,0.03675821465944835,,0,1.5475976710900288,3586.2287499999998,1.5485414233525092,0,0,1.5557181633568073,,0.03753339052689939,0.7945991864863967,0.01487043399192726,,0.09331932182534862,0.01046578690061817,,0.8066446197336206,,0.08651103886079192,0.00970223614529321,,0,0.15325412601584565,0.10281944257391967,0.1566497138114769,0,0,0.02025599974009176,0.17080020281419084,0.1564898596202588,,0.4202679852974869,,0,0.2353131936628451,0.11022228365614749,1.0592644106714204,0.10405549600810482
